Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,78.75,78.313,77.596,77.089,77.31
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,75.37,75.599,75.004,72.893,76.05
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,65.915,66.567,66.435,66.019,67.952
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,70.974,71.213,69.79,68.976,71.01
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Saudi Arabia,SAU,7.6,7.2,6.9,6.6,6.4
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,Tunisia,TUN,17.5,16.9,16,15,13.9
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Yemen, Rep.",YEM,47,45.9,43.2,42.4,40.8
"Mortality rate, under-5 (per 1,000)",SH.DYN.MORT,"Egypt, Arab Rep.",EGY,20.8,20.1,19.4,18.7,18.1
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30196281,30063799,31552510,30784383,32175224
"Population, total",SP.POP.TOTL,Tunisia,TUN,11765514,11875081,11974057,12048622,12119334
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,34085182,35111408,36134863,37140230,38222876
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,105682094,107553158,109315124,110957008,112618250
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Saudi Arabia,SAU,15.89835358,11.40407372,10.08158016,10.15629482,11.01618004
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,Tunisia,TUN,41.91517639,35.57650757,33.43321228,33.77783585,33.86546326
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Yemen, Rep.",YEM,75.94067383,73.29613495,69.91931152,72.10394287,70.20210266
Out-of-pocket expenditure (% of current health expenditure),SH.XPD.OOPC.CH.ZS,"Egypt, Arab Rep.",EGY,62.61043167,62.50646591,59.31352997,54.90198135,53.82896805
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,2.67,2.49,2.27,2.17,2.14
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,2.133,2.1,2,1.8,1.847
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,4.607,4.603,4.6,4.597,4.593
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Egypt, Arab Rep.",EGY,3.02,2.87,2.85,2.75,2.75
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,-2.5537682578428,-0.439701419074031,4.833138517103,-2.46456261487283,4.41891994509507
Population growth (annual %),SP.POP.GROW,Tunisia,TUN,0.982378425356264,0.926946081730267,0.830022185577052,0.620790374510459,0.585173208533683
Population growth (annual %),SP.POP.GROW,"Yemen, Rep.",YEM,2.96037896642737,2.96633475184571,2.87320414785733,2.74426152997255,2.87334358526139
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.89713831833082,1.75497438173801,1.62495386951696,1.4908053906311,1.48609697540294
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Saudi Arabia,SAU,2.514,2.633,2.648,2.789,3.077
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,Tunisia,TUN,..,1.28,1.295,1.292,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Yemen, Rep.",YEM,..,..,..,..,..
"Physicians (per 1,000 people)",SH.MED.PHYS.ZS,"Egypt, Arab Rep.",EGY,0.73,0.709,0.683,..,..
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,
Last Updated: 07/02/2025,,,,,,,,
